"Endothelial","CAFs","PVL","B_cells","T_cells","Myeloid","Normal_Epithelial","Cancer_Epithelial"
"BIOKEY_2",0.0506009327380068,0.0776852100775698,0.0244133862896122,0.0960387183825634,0.443591701470288,0.119774761636175,0.048181243739532,0.139714045666252
"BIOKEY_3",0.0157404108615956,0.754379275953959,0.00334428626640212,0.00807169269803967,0.0572575590101654,0.0711107173271492,0.000742697136452752,0.0893533607462361
"BIOKEY_4",0.00793342831498605,0.0207330149975029,0.00416812264445104,0.18871467140324,0.576108709051895,0.0563595420091466,2.48570437948858e-13,0.145982511578529
"BIOKEY_5",0.0315745870349707,0.0152838164315665,0.00514988173051277,0.133280209960464,0.685074731255567,0.0435904990330203,0.000342109118183978,0.0857041654357148
"BIOKEY_6",0.0938445695205609,0.265275644458964,0.0230609640865109,0.0232022938007347,0.250304720741662,0.072898427691103,0.0350505834668001,0.236362796233664
"BIOKEY_7",0.00592075867217294,0.419797807879802,7.16884864993467e-10,0.0033326331912397,0.0334256725432693,0.11913953579766,0.00163422808805689,0.416749363110914
"BIOKEY_8",0.0217368666204858,4.01646983848873e-05,0.00109744988758983,0.0242074378836583,0.519686575533261,0.311414652175471,5.67402941361428e-19,0.121816853201149
"BIOKEY_9",0.0919161604457567,0.195503839245961,0.0497839144507591,0.114655684208283,0.239349747908354,0.0812229802086376,0.0788356295266294,0.14873204400562
"BIOKEY_10",0.017866641721591,0.0944906942723448,0.00573353241732396,0.0954265761352702,0.627709486263375,0.0989879373736825,6.20320734113734e-08,0.0597850697843389
"BIOKEY_11",0.00290961069062306,0.0204595965383399,0.00371798079278022,0.0644160538734374,0.598130878081894,0.125219223206294,0.0078956450222887,0.177251011794343
"BIOKEY_13",0.113780865381828,0.264505497842756,0.0354188304876135,0.0688069902914041,0.458943922961345,0.036510246182636,1.88597086363649e-07,0.0220334582553315
"BIOKEY_14",0.129412034384625,0.0936594341401845,0.049809893176359,0.156967952055166,0.400609109450988,0.0598406516206135,0.0361592542642897,0.073541670907774
"BIOKEY_15",0.0293229668847151,0.0482150580441912,0.00180167264768741,0.0888807919550885,0.556366713596997,0.105041284550825,0.0206653251674919,0.149706187153003
"BIOKEY_16",0.0228189774202827,0.00916071947515925,0.000470355184167118,0.107202853797828,0.500487000300251,0.221741858571932,0.00290487261390891,0.135213362636472
"BIOKEY_17",0.0395570003748997,0.445698203734985,0.000318824276457599,9.80038260933708e-05,0.036833831857851,0.0400122965602198,0.045658464536302,0.391823374833191
"BIOKEY_18",0.171877892158512,0.182695968344822,0.0486348976702129,0.0566330574308724,0.406577997346559,0.0443516794156467,0.0227108158090513,0.066517691824324
"BIOKEY_19",0.110148609786639,0.194701054483099,0.0305467290641119,0.0857022722966737,0.369380939210372,0.0465780956912749,0.0793365102171564,0.0836057892506728
"BIOKEY_21",0.0553480760466153,0.106348273846353,0.0191576957572973,0.020343715731957,0.093851695836498,0.0599402921752921,0.0705666315208126,0.574443619085175
"BIOKEY_22",0.0368147084680336,0.813612077445744,0.00165919271024581,0.00261671398784128,0.027097560342276,0.0198742714101808,0.00515156254830392,0.093173913087375
"BIOKEY_23",0.0870625171695859,0.12063784927904,0.0590773352581259,0.0188656863523653,0.160316383959187,0.0968566069915128,0.188445905553094,0.268737715437089
"BIOKEY_24",0.0694002221101584,0.216627775222921,0.0150886342598239,0.012704480093093,0.138633315148787,0.0722308007979813,0.136977712577865,0.33833705978937
"BIOKEY_26",0.0321831007480759,0.124914437911056,0.0158687246772108,3.51872106504173e-06,0.0109387122977229,0.040973662293015,0.0576587683915254,0.71745907496033
"BIOKEY_27",0.101612828710607,0.465664295084261,0.0341452050848061,0.0296621620093202,0.254691662773606,0.020071812612395,0.0293960536070062,0.064755980117999
"BIOKEY_28",0.0587932115699883,0.0235450611292466,0.0122890858193892,0.016044223201534,0.357667984503119,0.315046332526444,0.000594114077614911,0.216019987172664
"BIOKEY_30",0.049045006725379,0.0425159564174695,0.0133836416997254,0.0127359998191342,0.0362399524800151,0.0273942523476829,0.185843722980848,0.632841467529746
"BIOKEY_32",0.352990325784573,0.323507230879922,0.0809380001652774,0.00486546869655888,0.153860433622337,0.053438913057044,0.00949484664975342,0.0209047811445338
"BIOKEY_33",0.15809938903204,0.0618263466444566,0.0289000462458016,0.0427025703881086,0.648570095566075,0.0419594612894052,6.5053603794113e-06,0.0179355854737339
"BIOKEY_35",0.0362566424945513,0.0138442231928777,0.00181106780137994,0.0674364554604973,0.37188971534218,0.239509381668852,0.0855684581086519,0.18368405593101
"BIOKEY_36",0.169000048043805,0.360855427120343,0.0122709146767705,0.0197701326968357,0.312398723874569,0.097847620492919,3.31154934547047e-05,0.0278240176013025
"BIOKEY_37",0.175981186480759,0.118175993574121,0.0758648781001503,0.0120698134817307,0.354922489134909,0.105198290218227,0.0294390018747801,0.128348347135322
"BIOKEY_38",0.334006648351099,0.410114928943643,0.112099042123948,0.00080021998590567,0.0831812130664889,0.0115572799941547,0.0274977392458882,0.0207429282888726
"BIOKEY_39",0.128616594125157,0.550818245567752,0.0271618104118756,0.00517850078420419,0.123530417284525,0.106230336593952,0.00170508099686407,0.0567590142356702
"BIOKEY_40",0.141381647418709,0.401856139098655,0.0546603876110128,6.0485771997783e-09,0.254083048460943,0.102663394796505,8.58496232150014e-05,0.045269526942383
"BIOKEY_41",0.093780214548946,0.0999171824924486,0.0304418036164542,6.73355535557959e-08,0.320674009719211,0.0761522741476281,0.00442660790352803,0.374607840236231
