"B_cell","Cancer_cell","Endothelial_cell","Fibroblast","Mast_cell","Myeloid_cell","pDC","T_cell"
"A1BG",0.023,-0.007,-1.208,0.771,-0.698,0.167,0.643,0.31
"A1BG-AS1",-0.3,0.114,-0.713,1.053,-0.84,0.385,-0.614,0.915
"A2M",-3.522,0.593,5.879,3.352,-2.811,2.539,-3.582,-2.449
"A2M-AS1",-1.047,-0.378,0.163,0.661,0.658,-0.039,-0.953,0.935
"A4GALT",-0.932,0.424,4.07,3.443,-2.226,-1.553,-1.599,-1.627
"AAAS",-0.11,0.573,0.381,0.852,-1.888,0.127,-0.386,0.451
"AACS",-0.686,1.782,0.251,0.517,-2.108,-0.16,0.05,0.354
"AADAC",-0.145,0.097,-0.094,0.676,-0.145,-0.132,-0.145,-0.112
"AADACL2-AS1",-0.665,-0.543,-0.251,3.874,-0.528,-0.569,-0.635,-0.682
"AADAT",-0.583,0.99,-0.049,1.83,-0.574,-0.456,-0.641,-0.517
"AAED1",-0.969,-0.108,1.813,1.441,-1.819,1.409,-1.809,0.043
"AAGAB",-0.559,1.15,0.558,0,-1.434,0.126,-0.889,1.048
"AAK1",-1.539,0.396,1.182,0.992,-1.934,1.135,-2.746,2.513
"AAMDC",-1.412,1.405,1.749,1.622,-1.141,0.389,-2.234,-0.378
"AAMP",-0.239,1.209,0.949,0.737,-2.194,0.406,-1.439,0.571
"AAR2",-0.667,0.908,1.099,0.868,-2.1,0.263,-1.157,0.787
"AARD",-0.494,4.127,-0.707,-0.506,0.001,-0.597,-1.359,-0.464
"AARS",0.027,0.865,1.069,1.14,-1.889,0.124,-1.339,0.003
"AARS2",0.098,0.273,0.467,0.608,-1.587,0.134,-0.618,0.626
"AARSD1",-0.041,0.874,0.963,0.79,-1.625,-0.258,-1.102,0.399
"AASDH",-0.309,0.741,0.469,0.665,-1.621,0.261,-0.911,0.705
"AASDHPPT",-0.41,0.701,0.624,0.361,-1.417,0.227,-0.989,0.903
"AASS",-1.074,0.282,1.722,2.264,-0.538,-1.186,-0.898,-0.572
"AATF",-0.279,0.448,0.042,-0.047,-1.227,0.307,-0.287,1.043
"ABALON",-0.182,0.193,0.156,0.112,-0.271,0.153,-0.294,0.134
"ABAT",-0.485,1.491,-0.698,-0.355,-0.673,0.741,-1.027,1.004
"ABCA1",-1.332,-0.996,0.701,1.645,0.795,2.638,-1.313,-2.137
"ABCA10",-0.646,-0.103,-0.436,3.609,-0.884,-0.687,-0.348,-0.506
"ABCA2",-1.61,0.643,1.301,1.053,-2.374,-0.729,0.229,1.486
"ABCA3",-0.516,1.88,1.755,-0.246,-1.068,-0.459,-1.356,0.01
"ABCA5",0.081,0.816,0.599,0.747,-1.731,-0.559,-0.837,0.885
