"B_cell","Cancer_cell","Endothelial_cell","Fibroblast","Mast_cell","Myeloid_cell","T_cell","pDC"
"BIOKEY_2",0.118515640178745,0.117544200505149,0.025257431513503,0.0930639207305226,0.000777151738877016,0.10161258985817,0.530600349718283,0.0126287157567515
"BIOKEY_3",0.00925726587728741,0.121205597416577,0.0217438105489774,0.661571582346609,0.0109795479009688,0.083745963401507,0.0906350914962325,0.000861141011840689
"BIOKEY_4",0.236622899901172,0.119723281095581,0.00705915572497529,0.0273895242129041,0.00225892983199209,0.0337427643653819,0.56557955668502,0.00762388818297332
"BIOKEY_5",0.14593837535014,0.0450980392156863,0.015406162464986,0.0274509803921569,0.0778711484593838,0.019327731092437,0.662745098039216,0.0061624649859944
"BIOKEY_6",0.0265271810199888,0.304315337194097,0.0666915748178591,0.23407435083131,0.00821968989351765,0.0904165888286942,0.268073977209042,0.00168130020549225
"BIOKEY_7",0.00585223116313094,0.358814923189466,0.00731528895391368,0.455742501828822,0.0160936356986101,0.116678858814923,0.0395025603511339,0
"BIOKEY_8",0.0453421269579555,0.113767518549052,0.0173124484748557,0.00659521846661171,0,0.294311624072547,0.51525144270404,0.00741962077493817
"BIOKEY_9",0.146681539319576,0.257668711656442,0.0658114891243726,0.197434467373118,0.00501952035694367,0.0858895705521472,0.235359732292248,0.00613496932515337
"BIOKEY_10",0.0957674792392178,0.0707206000535762,0.0119207072060005,0.0689793731583177,0.00442003750334851,0.0842485936244308,0.661264398607018,0.00267881060809001
"BIOKEY_11",0.075037147102526,0.141406636948985,0.00767706785537395,0.0190688459633482,0.00123823675086677,0.102278355621595,0.643883110450718,0.00941059930658742
"BIOKEY_13",0.0558848433530906,0.0172170476996895,0.0993508326277166,0.245836861416878,0.00197572678521027,0.043465989274626,0.531470505221564,0.00479819362122495
"BIOKEY_14",0.203035413153457,0.102529510961214,0.0988195615514334,0.126475548060708,0.00269814502529511,0.0350758853288364,0.421922428330523,0.00944350758853288
"BIOKEY_15",0.116669076189099,0.126933641752205,0.0212519878560069,0.0530576839670377,0.000289142691918462,0.0899233771866416,0.583779094983374,0.00809599537371693
"BIOKEY_16",0.116858464823823,0.131688219243089,0.0129315458536007,0.010558785146518,0.00237276070708269,0.216158500415233,0.496262901886345,0.0131688219243089
"BIOKEY_17",0.00203631427116918,0.509757339216019,0.0227388426947226,0.377057525878161,0.00186662141523842,0.0464958425250297,0.0397081282877991,0.000339385711861531
"BIOKEY_18",0.0919618528610354,0.0962761126248865,0.146003633060854,0.187783832879201,0.00794732061762034,0.0415531335149864,0.423932788374205,0.00454132606721163
"BIOKEY_19",0.0874882408278457,0.163217309501411,0.0816870492317341,0.178896205707118,0.00799623706491063,0.0504860457823769,0.427406710567576,0.00282220131702728
"BIOKEY_21",0.0140350877192982,0.702024291497976,0.039136302294197,0.0920377867746289,0.00296896086369771,0.0682860998650472,0.0807017543859649,0.000809716599190283
"BIOKEY_22",0.000943396226415094,0.141037735849057,0.0424528301886792,0.740566037735849,0.000471698113207547,0.0240566037735849,0.05,0.000471698113207547
"BIOKEY_23",0.0393471291168755,0.426114835324978,0.0725735937044593,0.156514135820461,0.00116584086272224,0.105508598076363,0.196735645584378,0.00204022150976392
"BIOKEY_24",0.0151757188498403,0.437965921192758,0.0628328008519702,0.196485623003195,0.0077209797657082,0.0873269435569755,0.192225772097977,0.000266240681576145
"BIOKEY_26",0.000931966449207828,0.870922646784716,0.00885368126747437,0.0363466915191053,0.000465983224603914,0.0524231127679404,0.0298229263746505,0.000232991612301957
"BIOKEY_27",0.0204670690107583,0.104696929939648,0.100236158488586,0.430858042508528,0.00288638152715823,0.0351613749672002,0.304119653634217,0.00157438992390449
"BIOKEY_28",0.0239234449760766,0.151515151515152,0.0462519936204147,0.0592769803296119,0.000797448165869219,0.284423179160021,0.41866028708134,0.0151515151515152
"BIOKEY_30",0.00478545222523528,0.848460679534216,0.0384431328760568,0.0417929494337215,0.00494496729940979,0.0347742861700431,0.0267985324613176,0
"BIOKEY_32",0.00624219725343321,0.0774032459425718,0.304619225967541,0.379525593008739,0.00374531835205993,0.052434456928839,0.17478152309613,0.00124843945068664
"BIOKEY_33",0.0357142857142857,0.00971971066907776,0.12002712477396,0.0644213381555154,0.000452079566003617,0.049502712477396,0.715641952983725,0.00452079566003617
"BIOKEY_35",0.0704207920792079,0.212623762376238,0.0334158415841584,0.0247524752475248,0.000123762376237624,0.244306930693069,0.401361386138614,0.0129950495049505
"BIOKEY_36",0.0339057683839718,0.00990752972258917,0.136283575517393,0.338397181858212,0.000440334654337296,0.0836635843240863,0.391897842360194,0.0055041831792162
"BIOKEY_37",0.0107601527247484,0.148559527941687,0.153418951752864,0.179451579312739,0.000347101700798334,0.122526900381812,0.382506074279764,0.00242971190558834
"BIOKEY_38",0.00174520069808028,0.0885689354275742,0.287958115183246,0.496945898778359,0.00305410122164049,0.0178883071553229,0.103839441535777,0
"BIOKEY_39",0.00803616273229533,0.0828729281767956,0.117528879959819,0.501255650426921,0,0.119035660472125,0.163234555499749,0.00803616273229533
"BIOKEY_40",0.00390625,0.0290178571428571,0.134486607142857,0.402901785714286,0.00669642857142857,0.109375,0.3125,0.00111607142857143
"BIOKEY_41",0.00400534045393859,0.444859813084112,0.0555407209612817,0.109212283044059,0.000534045393858478,0.0835781041388518,0.301468624833111,0.000801068090787717
