GeneSymbol	T_cell	Endothelial_cell	B_cell	Fibroblast	Cancer_cell	Myeloid_cell	Mast_cell	pDC
A2M	1	4903.18051024293	1	1430.35625074299	264.133916989314	365.799143732704	1	1
AAK1	499.121649260158	112.858208320186	1	92.5812221603755	93.8621507628078	131.620329335988	1	1
AARD	1	1	1	1	395.526983869434	1	1	1
ABCA1	1	93.2950809907583	1	140.503288641266	1	289.611942490244	407.950453112014	1
ABCA10	1	1	1	153.142304168009	1	1	1	1
ABCA2	1	1	1	1	1	1	1	86.7698339126089
ABCA6	1	1	1	279.790219866566	1	1	1	1
ABCA7	1	1	1	1	1	1	1	80.4744825887154
ABCA8	1	1	1	197.806977326987	1	1	1	1
ABCA9	1	1	1	126.087554196679	1	1	1	1
ABCB1	1	96.6679931998185	1	1	1	1	1	1
ABCC1	1	1	1	1	1	1	274.025949007869	1
ABCC3	1	1	1	1	1	84.4190745170993	1	1
ABCC4	1	1	1	1	1	1	362.117538971349	1
ABCC9	1	1	1	141.121543754925	1	1	1	1
ABCD3	1	1	1	1	101.795315829196	1	167.258752800452	1
ABCD4	1	188.239033540941	1	1	1	1	1	84.492426847886
ABCG1	1	189.807077881455	1	1	1	81.989706415562	1	1
ABHD11	1	1	1	1	99.2922616083894	1	1	1
ABHD13	1	1	1	1	1	1	1	87.806900617634
ABHD15	1	1	1	1	1	1	1	322.536286084456
ABHD18	1	1	1	1	1	1	1	65.6728160840137
ABHD2	1	97.2348742734027	1	103.51232291523	140.813967811029	169.27962628184	439.856540280634	111.018845239209
ABHD6	1	1	1	1	1	1	1	83.9807935136558
ABI3	271.627784563397	151.256817244899	1	1	1	181.374532835826	1	1
ABI3BP	1	1	1	349.173312921421	1	1	1	1
ABL1	1	1	1	98.9950673932166	1	1	1	1
ABLIM3	1	227.579587659264	1	1	1	1	1	1
ABR	1	78.699673178945	1	1	1	123.945286191588	1	1
AC004687.1	202.225339450905	1	440.726840470547	1	1	145.011604956315	1	380.050091162274
AC004846.1	1	1	1	1	1	1	1	110.070809501095
AC007384.1	1	1	298.315293895082	1	1	1	1	1
AC008771.1	1	1	1	1	99.1348970271093	1	1	1
AC015912.3	1	1	1	1	1	165.647848207572	1	1
AC020571.1	1	1	1	1	1	1	244.531118286421	1
AC020916.1	386.72561205593	85.5128382980856	235.395618775822	69.1054070163407	76.852211009074	192.697945360025	2843.95352032344	398.678931621588
AC025164.1	189.366420772636	1	401.699271785074	1	1	1	1	1
AC084033.3	1	1	1	1	1	1	360.060169552233	1
AC097103.2	1	1	1	1	211.660349582374	1	1	1
AC097375.1	1	1	1	1	1	1	1	281.535161623204
AC098613.1	1	1	1	1	1	1	1	115.6843655391
AC100810.1	1	1	1	114.403904888649	68.4692221330674	128.132704610083	218.309434435329	1
AC104699.1	1	1	141.43421237732	1	1	1	1	1
AC106739.1	1	1	1	1	1	1	250.068500252013	1
AC119396.1	1	1	312.946251735487	1	1	1	1	1
AC119428.2	1	1	1	1	1	1	1	411.001436726534
AC243960.1	223.104606039188	1	263.472182649205	1	1	1	1	166.170838508974
AC245014.3	1	1	1	1	1	343.477486021268	1	301.18682117454
AC245595.1	1	1	1	368.174712914938	92.6927255970856	1	1	1
ACACB	1	151.626142615595	1	1	1	1	1	1
ACADSB	1	1	1	1	110.459424875079	1	1	1
ACAP1	1161.71432798982	1	729.182570043247	1	1	1	1	306.368785266855
ACE	1	140.266824867282	1	1	1	1	1	1
ACER3	1	1	1	1	1	128.143112376032	363.3926502695	1
ACKR1	1	2017.66540212234	1	1	1	1	1	1
ACOT7	1	1	1	1	1	1	781.575978783975	82.4145576728945
ACOT8	1	1	1	1	105.751148296694	1	1	1
ACP2	1	95.0677186075894	1	69.9234262468167	1	226.474916646693	1	1
ACSL1	1	1	1	1	176.687658991349	310.321441421738	1	1
ACSL4	1	75.7024007849761	1	206.404211775375	1	156.024570368089	1175.99739341681	73.2787552716602
ACSL5	160.245200937442	126.104610258047	1	1	1	72.0349235221942	1	1
ACTA2	1	1	1	2856.33330048346	744.586709813603	1	1	1
ACTG2	1	1	1	1	438.401013076818	1	1	1
ACVR1	1	1	1	89.2538173129832	1	1	1	1
ACVRL1	1	413.514215672261	1	114.13256752644	1	1	1	1
AD000671.2	1	1	1	1	1	1	1	89.8241386415227
ADA	1	1	1	1	1	1	1	373.327252028471
ADA2	1	1	126.658079208243	1	1	366.337311745529	1	221.848510654374
ADAM12	1	1	1	458.328096566257	1	1	258.443813875036	1
ADAM15	1	1060.1935158495	1	56.6983458488433	209.363379767474	96.2790321446894	1	1
ADAM19	1	1	211.722923686565	1	1	1	1	384.650511227939
ADAM28	1	1	1100.09310585444	1	1	108.23867011212	1	1
ADAM33	1	1	1	123.598669208658	1	1	1	1
ADAM8	225.576955602307	1	1	1	1	215.933415922535	1	1
ADAMDEC1	1	1	1	1	1	128.116214984779	1	1
ADAMTS1	1	701.361609111199	1	292.441481457969	1	1	1	1
ADAMTS12	1	1	1	255.368870055292	1	1	1	1
ADAMTS18	1	138.057394534524	1	1	1	1	1	1
ADAMTS2	1	1	1	217.439618096333	1	1	1	1
ADAMTS4	1	191.051342269911	1	1	1	1	1	1
ADAMTS5	1	1	1	165.656222053454	1	1	1	1
ADAMTS6	1	173.777897635454	1	1	1	1	1	1
ADAMTS7	1	90.0480368891981	1	1	1	1	1	1
ADAMTS9	1	392.877481472131	1	1	1	1	1	1
ADAMTSL4	1	1	1	1	1	69.0530254937403	1	1
ADAP2	1	1	1	1	1	433.863814008523	1	1
ADARB1	1	85.9311329776189	1	1	1	1	1	1
ADCY3	1	1	1	180.012378019849	1	1	1	1
ADCY4	1	606.120297393405	1	1	1	1	1	1
ADCY7	1	1	1	1	1	113.37271224058	1	154.2007970176
ADGRA2	1	83.0771539745016	1	254.293967667953	1	1	1	1
ADGRE2	1	1	1	1	1	176.34278911226	372.437251116008	1
ADGRF5	1	764.912675440576	1	1	1	1	1	1
ADGRG1	1	319.743703777611	1	1	150.552730613223	1	1	1
ADGRG5	1	1	1	1	1	1	1	227.421308299744
ADGRL2	1	158.562844216509	1	1	1	1	1	1
ADGRL4	1	1488.44548977712	1	1	1	1	1	1
ADH1B	1	1	1	417.522195748287	1	1	1	1
ADIRF	1	1611.96826218692	1	1626.71614918581	1137.39929783331	1	1	1
ADK	166.144797862292	1	291.23923501729	1	160.641953856802	79.0159359739693	1	127.194143420559
ADM	1	189.873174970164	1	146.514753693947	1	341.751394235018	1	1
ADM5	1	178.735988419972	1	1	1	1	1	1
ADRB2	1	119.016018540836	1	1	1	1	931.975989870087	1
AEBP1	1	77.2752409659822	1	2076.29157459408	1	1	1	372.579148416168
AF213884.3	1	1	1	1	1	81.3500711898614	1	1
AFAP1L1	1	222.793125316212	1	1	1	1	1	1
