"B_cell","Cancer_cell","Endothelial_cell","Fibroblast","Mast_cell","Myeloid_cell","pDC","T_cell"
"JCHAIN",6.974751696624,-2.80329132751002,-2.5644121270183,-2.11631968986256,-2.87111718386199,-2.04977345953396,7.20240974195537,-1.77224765079254
"FABP4",-2.85608709353932,-2.4674446062781,7.64154204505691,2.43045855959195,-2.92844026988409,2.53882458473274,-3.08180768280987,-1.27704553687023
"GZMB",-0.195444734412736,-2.49156335924599,-1.88643285480115,-2.72878265374491,-3.49130620089303,-2.16622619964789,8.29616683444631,4.66358916829939
"IGKV1-5",9.42516438581307,-1.19741353663296,-1.70184985984168,-1.19368147211426,-0.245840039650874,-1.14846893630256,-3.00780548398543,-0.930105057285309
"MGP",-3.22611093242716,5.72204728856019,2.86351824293408,4.59553620004526,-2.77711703594273,-1.44231476138166,-4.53467799530363,-1.20088100648435
"IGKV3-20",8.24714644269361,-1.12546837143747,-1.7049443919188,-1.43608934541249,-1.6378838524766,-0.508449708734482,-2.363981406581,0.529670633867227
"IGFBP7",-3.36054953034964,-0.417431090976738,6.34341570557203,6.11874401515971,-2.72833134477333,-0.709460588771329,-3.49494573180012,-1.75144143406058
"IGKV4-1",6.64276489546669,0.0255746870726177,-0.776559903459865,-1.16567115552007,-0.761880455508219,-1.21561432638514,-2.42512393116326,-0.323489810502753
"SPARCL1",-2.98761441447344,0.287871130299577,6.98117504200374,5.78706694109399,-3.57155360605739,-1.1482812454542,-3.70768898548111,-1.64097486193118
"SPARC",-2.92070931094266,-0.127844640455299,5.61140176902582,6.36443587879086,-3.4785258633064,-0.218121689299115,-3.83766566957067,-1.39297047424253
"RNASE1",-2.84273475963846,-0.56617632057295,6.03675826030361,-0.801107293172199,-4.18896232067158,6.19169486943658,-2.24625784823838,-1.58321458744663
"PTGDS",-3.00600891665336,-2.06783024513839,0.708403823337124,3.36633084852273,-3.68207912527283,0.219040838597596,6.73562092770029,-2.27347815109315
"HBB",-0.44942195435831,0.231102531103643,0.104737586104398,1.08975474308637,1.83055636529807,-0.383472005166407,-3.84748509530699,1.42422782923923
"IFI27",-2.95743170387118,0.955846019914129,4.6884719113539,3.17956851124805,-4.20207134927907,1.8155167007398,-2.45691476062535,-1.02298532948028
"COL4A2",-2.86561378296483,-0.129649024917252,6.56198941051967,5.6159783068897,-2.92593015488234,-1.38951895517163,-3.26120517579314,-1.60605062368017
"COL4A1",-2.85053081286614,-0.795502311887303,6.6382693316819,5.34288230336804,-2.16144399279248,-1.61926054459989,-3.20715787923677,-1.34725609366736
"A2M",-3.14272124111202,0.517107897207577,6.0078315124255,3.93793597845015,-4.39794341415936,2.65877236070296,-3.60521454665666,-1.97576854685815
"IGKC",7.24462323419902,-2.01136466459157,-1.25177136746696,-1.8098300832131,-2.28851728645653,-1.89869971022033,3.12319725152379,-1.10763737377432
"IRF8",3.02818420303643,-2.75556523005937,-2.82575564444222,-2.20494793329173,-3.94003487240298,3.00557035104211,6.85158514867445,-1.1590360225567
"FCER1G",-2.7642879404176,-4.26520897773902,-3.09852558876274,-2.74710999804411,4.79491054893883,4.74987758288812,3.4590501978734,-0.128705824736879
"APOD",-2.71834259003815,1.8084903355461,3.64485034186466,6.95068604812943,-3.45779980751856,-1.58272759752125,-3.60079071905696,-1.04436601140527
"TCL1A",3.54147709971738,-1.76376959683643,-1.8606856620343,-1.78533319923031,-1.8606856620343,-1.79860777412063,7.22029709258246,-1.69269229804386
"TYROBP",-2.37328890591926,-4.0144039191887,-2.85932265292921,-3.60438038750617,3.51737775193855,5.09662640947323,3.96686389947422,0.270527804657343
"IGHG1",6.38746777552681,-0.57039302483025,-0.70084797846287,-0.731028026738329,-0.844474937744272,-1.22677874648769,-1.81678935416563,-0.497155707097781
"RHEX",3.05040922202243,-2.43579677471604,-3.29274219798612,-3.24620612173152,5.68692332734872,-2.22496887901964,5.40554763120214,-2.94316620711997
"FN1",-2.54333471468055,0.606208725276706,3.1526875016736,5.73428831820967,-3.65575307387156,2.51363505531414,-3.91628400205069,-1.89144780987131
