"Endothelial","CAFs","PVL","B_cells","T_cells","Myeloid","Normal_Epithelial","Cancer_Epithelial"
"RP11-34P13.7",0.694597086640622,0.154246704479732,0,0.214382771717558,0.212373883037879,0.294265332565076,0.585069520446645,0.150579008573658
"FO538757.3",0,0.154246704479732,0,0.214382771717558,0.131136145003679,0.104900371175625,1.00016052661134,0.150579008573658
"FO538757.2",4.99646191209248,4.90688980334276,4.71863330850036,2.98713376417101,5.08557890754943,5.07283094917661,5.08777443541648,4.76466144021137
"AP006222.2",4.17871164825592,3.96986444047191,4.74410894098764,1.52728926610397,2.66191501527882,3.23986445573786,3.52385507813734,3.73570259920719
"RP4-669L17.10",0.270402309360124,1.36724000903095,0.768595053659232,0.263346109385775,0.498089339297804,0.611588699171602,0,0.526128417830285
"RP5-857K21.4",1.16147803036105,0.839865140064008,0.768595053659232,0.444101678604105,0.397459134812248,0.294265332565076,1.00016052661134,0.632337435328787
"RP11-206L10.9",2.66896943477773,2.57651675027914,3.74743491154466,2.01576205417604,2.97873328563786,2.94717817031699,3.17021036973713,3.06539938439581
"LINC00115",2.29770159353762,1.48823037260238,2.09879448671005,1.1900835046716,2.70465891247324,2.61555008527449,1.58517653223396,2.40342591552087
"FAM41C",1.4055311708676,0.928065716916319,2.17570014278645,0.400991294308494,1.43978516495488,2.05923243895713,1.58517653223396,2.65092856504431
"RP11-54O7.3",0,0.645426846363549,0,0,0.0887348520037285,0,0.585069520446645,0.150579008573658
"SAMD11",1.16147803036105,3.64497771895201,0.303969663325054,1.00093490869199,0.289279977878413,0.202687577345746,1.80758424032064,1.7741343566835
"NOC2L",5.32795259581772,5.26962619593724,5.46449651393474,4.29455565180678,5.60317011962677,4.75997403061696,6.20977006315247,6.64721975196783
"KLHL17",1.51364088467723,1.48823037260238,1.83992054457147,0.604711063483603,1.82272540794852,1.41101544597117,1.00016052661134,1.52117783835829
"PLEKHN1",1.16147803036105,1.48823037260238,0.303969663325054,2.30014780241458,2.84501384188349,0.538558756331102,3.58525678586572,2.98749133450792
"PERM1",0.270402309360124,0,0.95467769051494,0,0.131136145003679,0.202687577345746,2.45969428924773,1.98928494050865
"RP11-54O7.17",2.41387204492391,2.20504615275622,3.23929405103201,0.16369912086856,0.790378293953127,3.56809263189033,1.3221207246777,0.992865476729338
"HES4",6.5318179741964,6.6449215681933,8.51823074022674,1.69728636612043,3.95966255785556,5.97198215916399,6.91320770769313,6.57913173835145
"ISG15",9.3641610329333,9.15209656314628,9.65282996549675,7.7516629348906,9.59278298323898,10.0727267975786,7.32674852248623,8.19952320707257
"AGRN",6.05197428458635,4.63935751933564,5.63078653834306,0.84882796641679,1.67291576387776,3.44361142502905,5.40970441854818,4.36335666488103
"RP11-54O7.18",0,0,0,0,0.36229307094012,0.294265332565076,0,0
"RNF223",0.270402309360124,0.293583318285671,0.554906375751487,0.214382771717558,0.131136145003679,0.202687577345746,5.64417080513061,3.6995095755724
"C1orf159",3.57599462462599,2.97879319398717,2.62288496976637,1.1385233941068,2.95532448578997,2.59768566910776,3.95449663594672,3.571855470693
