GeneSymbol	Endothelial	CAFs	PVL	B_cells	T_cells	Myeloid	Normal_Epithelial	Cancer_Epithelial
A1BG	1	184.440954716964	199.16783261417	89.4828195947352	1	108.532382183299	145.316562727591	1
A2M	3700.14687519917	532.732482867342	2158.37176453785	1	1	330.490399717554	462.606367041932	1
A4GALT	188.764476341629	1	119.635575633312	1	1	1	1	1
AAED1	135.015001435873	1	161.094419294061	1	1	1	1	1
AAK1	1	1	1	1	343.069573136199	1	1	1
AASDHPPT	1	1	1	1	1	1	156.52488088864	167.380133055954
ABCA1	1	143.726442234223	1	1	1	366.578193394942	1	1
ABCA6	1	316.615385854741	1	1	1	1	1	1
ABCA8	1	259.066586250336	1	1	1	1	1	1
ABCC9	1	1	322.00348043371	1	1	1	1	1
ABCD4	236.50752452353	1	1	1	1	1	1	1
ABCF1	1	1	1	1	1	1	1	184.513034368645
ABCG1	153.693519318169	1	1	1	1	119.288731421068	1	1
ABHD11	1	1	1	1	1	1	1	261.153881584619
ABHD12	1	1	1	1	1	254.05181062249	1	173.885594799877
ABHD2	1	1	1	1	1	98.8038671889232	1	1
ABI2	1	204.285964278843	174.93643344036	1	1	1	119.144382300575	1
ABI3	221.388150783767	1	1	1	1	187.310881546744	1	1
ABI3BP	1	169.627181634536	1	1	1	1	1	1
ABL2	402.937886717845	145.657904852617	1	1	1	179.92207588993	1	1
ABLIM1	281.204856711255	1	1	1	338.684369195447	1	1	1
ABTB1	1	1	295.877008306127	1	1	1	1	1
AC006129.2	1	1	1	1	267.779277964942	1	1	1
AC013461.1	1	161.740089026826	788.811045007445	1	1	1	162.626624389446	1
AC017002.2	1	1	198.733869690312	1	1	1	1	1
AC093818.1	1	1	1	73.8786280066574	1	1	1	1
ACAA1	1	1	1	1	1	162.149534090961	239.497030101713	228.117466280973
ACAA2	1	126.838580227581	1	1	1	1	1	1
ACAP1	1	1	1	273.59883576765	1120.56346581595	1	1	1
ACAT2	1	1	1	1	1	1	1	196.533707177184
ACE	204.405198592231	1	1	1	1	1	1	1
ACER3	1	1	1	1	1	109.062914851491	1	1
ACIN1	1	127.236228877352	1	1	1	109.196260373102	1	1
ACKR1	5136.00020716717	1	1	1	1	1	1	1
ACOT13	1	1	1	1	1	100.275674198055	1	229.579674260038
ACP2	1	1	1	1	1	134.272999527057	1	1
ACP5	1	251.824827380068	1	160.186133777102	244.836689816157	421.423292747083	1	1
ACSL1	1	1	1	1	1	260.199442711883	1	1
